comment,video,clean,label,label_id
Episode paling pecah si ini ngakak terus terusan 😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,episode pecah si ngakak terus,netral,1
kocak juga inj orang ber3 🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocak inj orang ber3,netral,1
Masyallah kerenn jar...,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masyallah kerenn jar,netral,1
Keren sering sering undang fajar,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,keren undang fajar,netral,1
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
MasyaAllah bg mael.... tetap istiqomah,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masyaallah bg mael istiqomah,netral,1
"Ketika Fajar ""dihajar"" Maele, Praz paham kepala Fajar agak sakit, kemudian diakhir2 Praz mau gantian ""menhajar"" Fajar, Praz pura2 K.O, tapi saya paham Praz cuma ingin menjaga perasaan Fajar. Salut..",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar hajar maele praz paham kepala fajar sakit diakhir2 praz ganti menhajar fajar praz pura2 paham praz jaga asa fajar salut,netral,1
"om dedd tolong dongg bulan puasa ada acara mereka bertiga konsepnya masuk juga, semoga dibaca!!!!",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,om dedd tolong dongg puasa acara tiga konsep masuk moga baca,netral,1
Kocakkkk ngakakkk,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocakkkk ngakakkk,netral,1
14:39,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,14 39,netral,1
Salfok ke jasa urut biduan😭😭,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,salfok jasa urut biduan,netral,1
salut gua sama lu maelll,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,salut gua lu maelll,netral,1
Nih tiga orang kena mulu tektokannya 😂😂 pecah!! Kocak kali lah 😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,nih orang kena mulu tektokannya pecah kocak kali,netral,1
lebih fresh mael le si drpd sama ebel,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fresh mael le si drpd ebel,positif,2
yantiiiii!!!! 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,yantiiiii,netral,1
"Om Ded,setujukah fajar di ketemukan  dengan roky derung",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,om ded tuju fajar ketemu roky derung,netral,1
Fajar lucu amat ya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar lucu ya,netral,1
Bagus sih klo ada mael jdi reguler. Cocok dgn temanya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bagus sih klo mael jdi reguler cocok dgn tema,netral,1
MasyaAllah mael lee ternyata beliau sudah hijrah,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masyaallah mael lee beliau hijrah,netral,1
Paling pecah podcast nya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah podcast nya,netral,1
😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
"Gw bangga dengan lu bang mael,lu gak lupa asal lu dari mana,salam kenal bg dari aceh❤❤",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gw bangga lu bang mael lu gak lupa lu salam kenal bg aceh,netral,1
Tetapkan mael lee di sini,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,tetap mael lee,netral,1
Fajar kurusan yakkk...knp,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar kurus yakkk knp,netral,1
"Bismillah itu bukan ""aja"" Bismillah itu sangat sangat kuat, pondasi itu",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bismillah aja bismillah kuat pondasi,netral,1
lucuuuu ini😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,lucuuuu,netral,1
Fajar belum matang2 bgt sebenarnya. Beberapa kali dia hampir lose untung di tahan sama praz..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar matang2 bgt kali lose untung tahan praz,netral,1
😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
Nah bnr nii mail ajaran sunaahh . Bener itu makan baca bismillah saja. Sohih,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bnr nii mail ajar sunaahh bener makan baca bismillah sohih,netral,1
Emang fajar....aku salut kalee sama dia.... sukses trus.jg buat  kedan abg satu negara mael..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,emang fajar salut kalee sukses trus jg dan abg negara mael,netral,1
"menurut gua maell lee cocok sih jadi co host di acara ini, konsep acaranya pojok terminal, + persona maell lee juga preman & gondrong, pas lah sama praz juga. apalagi maell lee katanya juga pengen bikin podcast, nah cocok sih.",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gua maell lee cocok sih co host acara konsep acara pojok terminal persona maell lee preman gondrong pas praz maell lee ken bikin podcast cocok sih,netral,1
"Bang pras,ngapa ga di PWK juga,sekarang PWK di isi bang gopar,bang gopar juga sama lucu juga bang",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bang pras ngapa ga pwk pwk isi bang gopar bang gopar lucu bang,netral,1
Kok pas bgt mael sama bang pras,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pas bgt mael bang pras,netral,1
Seru banget episod inii🎉,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,seru banget episod ini,netral,1
Lucu bangettt😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,lucu bangettt,netral,1
PLISSSS SERUUU PARAHHHH😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,plissss seruuu parahhhh,netral,1
Yallah dr awal nonton sampe akhir ngakak bgt,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,yallah dr nonton sampe ngakak bgt,netral,1
"""Ayah mengajarkan ku segalah ny tapi ayah lupa mengajarkan ku hidup tanpa ny""👏👏",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ayah ajar ku sega ny ayah lupa ajar ku hidup ny,netral,1
Ma.iiil... hahahaahha Rasulullah ga pernah podcadt,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ma iiil hahahaahha rasulullah ga podcadt,netral,1
Pajar ngeri dilapor pak aja 17 JT penonton....di podhub hampir 10jt...hebat pajar,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pajar ngeri lapor aja 17 jt tonton podhub 10jt hebat pajar,netral,1
"pantesss fajar ga redupp, lucuuu bangetttttt jirrr",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pantesss fajar ga redupp lucuuu bangetttttt jirrr,netral,1
Ayat al quran pon bleh buat main2..haram..mohon bagi nasihat dkt fajar..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ayat al quran pon bleh main2 haram mohon nasihat dkt fajar,netral,1
"Fajar sad boy, sehat-sehat selalu!!! Amin. 

Suka liat wajahnya pas sedih! 😅entah kenapa malah bikin ketawa.",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar sad boy sehat sehat amin suka liat wajah pas sedih bikin ketawa,negatif,0
Itu si fajar mau ambil apaan sih dibawah..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,si fajar ambil sih bawah,netral,1
Apa sih yg ada di bawah kakinya fajar.dia mau ambil apa gto?,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sih yg kaki fajar ambil gto,netral,1
Fajar ini napas aja dia udah lucu 😭😭🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar napas aja udah lucu,netral,1
2 anak sumatera ktmu..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,anak sumatera ktmu,netral,1
PECAH NI BERTIGA!!!!,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecah ni tiga,netral,1
Kalo ada fajar selamu view nya banyak..fans fajar selalu banyak,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kalo fajar sela view nya fans fajar,netral,1
"Sayang sekali tulisan ayat Alqur'an nya dibawah sejajar dengan kakinya Ma El... 
Coba kalok diatas  mungkin lebih Oke dan mengena... 
Secara keseluruhan saya suka podcast nya... 
*koreksi kalau saya salah..",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sayang tulis ayat alqur an nya bawah sejajar kaki ma el coba kalok atas oke kena suka podcast nya koreksi salah,netral,1
Aku setuju kalau bang mail ada di pojok,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,tuju bang mail pojok,netral,1
😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
"Masya ALLAH bgt Mael Lee skrg 🤗🤗🤗

11:11 Nah, ini keren nih! 👏👏👏
45:30 Asli, make nih Orang!

Endingnya gong bgt 🤣🤣🤣",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masya allah bgt mael lee skrg 11 11 keren nih 45 30 asli make nih orang endingnya gong bgt,netral,1
Cocok sama mael drpd sama yg itu,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok mael drpd yg,netral,1
"Cocok bgt bang mail jd partner bang prazz di channel ini 😂😂😂 lbh rame, lucu dan berwarna",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok bgt bang mail jd partner bang prazz channel lbh rame lucu warna,netral,1
Fajar❤❤❤,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar,netral,1
Coba di cancel mael Lee aj Prass sama saidboy main hahaha pasti keren,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,coba cancel mael lee aj prass saidboy main hahaha keren,positif,2
Ambil rokok,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ambil rokok,netral,1
Rokok,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,rokok,netral,1
Sakit bener sih kepala sih fajar itu 😮😮😮😮,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sakit bener sih kepala sih fajar,netral,1
Ambil apa tuh fajar di bawah 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ambil tuh fajar,netral,1
Maklum kan fajar bahasanya Gorontalo jadi bedaa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maklum fajar bahasa gorontalo bedaa,netral,1
"bawa mael lee ke titik kumpul prazz.
.
.
.",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bawa mael lee titik kumpul prazz,netral,1
"Keren nih tema acara nya, coba aja mael Lee juga bang 😂",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,keren nih tema acara nya coba aja mael lee bang,netral,1
Praz kek kurusan yah...,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,praz kek kurus yah,netral,1
😂😂orang 3  ini buat aku ketawa mulu astagfirullah alazim 😭😭,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,orang ketawa mulu astagfirullah alazim,netral,1
"wadduh....belajar dari Salahfi wahabi yg ujung ujungnya orang lain disesatkan masuk neraka, Bang?????",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,wadduh ajar salahfi wahabi yg ujung ujung orang sesat masuk neraka bang,netral,1
Orang solat hijrah di ketawain paraahhhh,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,orang solat hijrah ketawain paraahhhh,netral,1
"Fajar babak belur ,tapi siip bisa saja",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar babak bur siip,netral,1
"Jangan ikut isi dalam Alquran bang lee, disuruh nanti minum kencing onta, kalau berpapasan sama Nasrani persempit la jalan mereka",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,isi alquran bang lee suruh minum kencing onta papas nasrani sempit la jalan,netral,1
Gabungan yang mantap😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gabung mantap,netral,1
asLi gue suka banget Lo betigo hahahahahahahahahahahahaaaaaaaaaaa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,asli gue suka banget lo betigo hahahahahahahahahahahahaaaaaaaaaaa,netral,1
pecaah bgt ada fajar 😂 semoga makin sukses yaa jarr ..,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pecaah bgt fajar moga sukses yaa jarr,netral,1
Kocak 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocak,netral,1
:face-blue-smiling:😆😅😃😀😂😅🤣:face-blue-smiling:hahahahahahahahaaaaaaaaaaaa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,face blue smiling face blue smiling hahahahahahahahaaaaaaaaaaaa,netral,1
sadboy,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sadboy,netral,1
Semoga bang mail sehat dn terus istiqomah belajar agama...sukses buat bang pras juga...dn fajar tetap lurus  walau bnyk cobaan d hadapanmu...dunia intertain.....,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,moga bang mail sehat dn istiqomah ajar agama sukses bang pras dn fajar lurus bnyk coba hadap dunia intertain,netral,1
Aduhh aduh aduhh....😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,aduhh aduh aduhh,netral,1
"11:02 tiada dalil mael dr Quran dan Sunnah atau dicontohkan Rasulillah utk jadi Komika 🤭 Lalu yg kau lakukan skrg ini atas dasar dalil apa dan siapa mael? 
Wkwkwk. 
Maaf cuman bercandaa yaaa guise.",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,11 02 tiada dalil mael dr quran sunnah contoh rasulillah utk komika yg kau laku skrg dasar dalil mael wkwkwk maaf cuman bercandaa yaaa guise,netral,1
14:28 anjay fajar memang mantap dah bisa ngimbangin abang abangan nya kepikiran langsung tukar nanyain balik praz wkwk,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,14 28 anjay fajar mantap dah ngimbangin abang abangan nya pikir langsung tukar nanyain praz wkwk,netral,1
10:58 11:00 Sayang ny.,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,10 58 11 00 sayang ny,netral,1
ini yang paling ngakak si hahahaha,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ngakak si hahahaha,positif,2
Bonyok sudah si fajar😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bonyok si fajar,netral,1
Good job fajar 👌🏼,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,good job fajar,positif,2
programnya seru2 ngapa ya wkwkw trio ini seru sih,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,program seru2 ngapa ya wkwkw trio seru sih,netral,1
"Kata gw mah satuin dah mereka betiga, klop bgt tiga2nya",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gw mah satuin dah betiga klop bgt tiga2nya,netral,1
Tambahin si firman lucu ini 😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,tambahin si firman lucu,netral,1
Kapan lagi liat Eros sheila on7 disiksa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,liat eros sheila on7 siksa,netral,1
GUA PERCAYA KALO PRAS DI SATUIN SAMA MAELL UDAH KAYA VINDES SI 😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gua percaya kalo pras satuin maell udah kaya vindes si,netral,1
sumpah gua hampir gila ketawa😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,sumpah gua gila ketawa,netral,1
"Maasyaa Allah.. Begitulah, dakwah tidak perlu memaksa, ini hny menyampaikan satu adab makan yg ada dalil shohihnya dg niat lillahi ta'ala, Allah buka kan hidayah buat dia. Dan betapa besar pahala jariyah yg di dapat org yg menyampaikan kebenaran itu.. Subhanallah 💕",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maasyaa allah dakwah paksa hny adab makan yg dalil shohihnya dg niat lillahi ta ala allah buka hidayah betapa pahala jariyah yg org yg benar subhanallah,netral,1
"Maasyaa Allah.. Begitulah, dakwah tidak perlu memaksa, hny menyampaikan satu adab makan yg ada dalil shohihnya dg niat lillahi ta'ala, Allah buka kan hidayah buat dia. Dan betaba besar pahala jariyah yg di dapat org yg menyampaikan kebenaran itu.. Subhanallah 💕",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maasyaa allah dakwah paksa hny adab makan yg dalil shohihnya dg niat lillahi ta ala allah buka hidayah betaba pahala jariyah yg org yg benar subhanallah,netral,1
maele sampai emosi banget😂sukses selalu untuk 𝐉𝐀𝐋𝐀𝐊𝟒𝐃 ❤,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,maele emosi banget sukses,netral,1
Ar Rahmaan❤,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ar rahmaan,netral,1
seru bgt si fajar yaa,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,seru bgt si fajar yaa,netral,1
Bikin mie yantiiiii... bikin kopi yantiiii wkwkwkwkwk🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bikin mie yantiiiii bikin kopi yantiiii wkwkwkwkwk,netral,1
Fajar...fajar😅,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar fajar,netral,1
Fajar jadi samsak bang mail 😂😂😂😂😂 semangat semuanya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,fajar samsak bang mail semangat,netral,1
Waduh 2 pusing kepala bos ku gimana ini 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pusing kepala bos ku gimana,netral,1
cocok sama mael,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok mael,netral,1
ahhahaaha epic episode epiic pol kereeenn,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ahhahaaha epic episode epiic pol kereeenn,positif,2
buat channel sendiri dong prans jgn sama om botak terus,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,channel prans jgn om botak,netral,1
"11:20 fleksibel aja bang jgn apa"" Dalil selagi itu perbuatan baik ga salah kok, blajar ilmu fiqih dari dasar sangat penting",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,11 20 fleksibel aja bang jgn dalil selagi buat ga salah blajar ilmu fiqih dasar,netral,1
"Liat mail jd inget babe ya, suarax mirip",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,liat mail jd inget babe ya suarax,netral,1
"cocok bang prazz sama bang leee,, satukan merekaaa teruss",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok bang prazz bang leee satu merekaaa teruss,netral,1
Kenapa harus ada Pras ga ngebantu lucu nya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pras ga ngebantu lucu nya,netral,1
Ketawa sampe ngik ngok 😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ketawa sampe ngik ngok,netral,1
peccah😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,peccah,netral,1
Kenapa harus ada Pras. Kaya ketutup aura lucu nya,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,pras kaya tutup aura lucu nya,netral,1
Kocak 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kocak,netral,1
Gua liat ni fajar makin improve aja ni,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,gua liat ni fajar improve aja ni,netral,1
"Ahmad dan Kamil adalah dua anak yatim yang dijuluki ""Google Al-Qur'an"" karena kemampuan hafalan Al-Qur'an mereka yang luar biasa. Berikut biodata singkat mereka: 
Ahmad
Nama Lengkap: Ahmad (sering juga disebut Muhammad Ghazali Akbar) 
Asal: Tegal
Pencapaian Utama: Menghafal Al-Qur'an 30 juz dalam waktu 8,5 bulan, hafal letak halaman, ayat, dan baris secara sempurna, serta memperoleh ijazah sanad riwayat Hafs 'an 'Ashim di STIBA Makassar. 
Kamil 
Nama Lengkap: Kamil Ramadhan
Asal: Magelang
Pencapaian Utama: Menghafal Al-Qur'an 30 juz dalam waktu 6,5 bulan, hafal letak halaman, ayat, dan baris secara sempurna, serta memperoleh ijazah sanad riwayat Hafs 'an 'Ashim di STIBA Makassar.
Informasi Tambahan
Keduanya belajar menghafal di Pesantren De Muttaqin. 
Mereka menjadi inspirasi bagi banyak orang, terutama anak-anak, untuk lebih mencintai Al-Qur'an. 
Kisah mereka pernah diangkat menjadi bintang tamu di berbagai acara, termasuk lomba musabaqah tingkat internasional di Rusia. 

Kamil sudah menghapalkan juga terjemahan Alquran dalam bahasa Indonesia dan Inggris dan buku buku hadist, sekarang kelas 12 dan rencana tahun depan belajar di Madinah, sampai saat ini dengan segala kesibukannya stiap hari selalu murojaah (mengulang hapalan) 5 juz.
Ketika kelas 3 SD Magelang Kamil jadi pengemis di lampu merah jalan raya, Kamil dijemput pindah ke Jogya dalam posisi belum bisa ngaji,4,5 bulan sudah bisa hapal 10 juz, (juz 30,29,28,27,26 dan juz 1-5) lalu juz 6- 15 (10 juz ke 2) diselesaikan dalam 4 pekan dan 10 juz terakhir (16-25) dalam 4 pekan total 6,5 bulan. Awalnya sehari 1/2 halaman terus nambah sampai di juz 4 sampai selesai sehari 10 halaman. 
Motivasinya : menjadi penjaga Alquran sejati dengan terus bersama alquran setiap hari meskipun sibuk.
Smoga kita bisa mengambil pelajaran dari 2 anak jenius Ahmad dan Kamil Romadon ini, Allahu Akbar.",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ahmad kamil anak yatim juluk google al qur an mampu hafal al qur an biodata singkat ahmad nama lengkap ahmad muhammad ghazali akbar tegal capai utama hafal al qur an 30 juz hafal letak halaman ayat baris sempurna oleh ijazah sanad riwayat hafs an ashim stiba makassar kamil nama lengkap kamil ramadhan magelang capai utama hafal al qur an 30 juz hafal letak halaman ayat baris sempurna oleh ijazah sanad riwayat hafs an ashim stiba makassar informasi tambah ajar hafal pesantren de muttaqin inspirasi orang anak anak cinta al qur an kisah angkat bintang tamu acara lomba musabaqah tingkat internasional rusia kamil menghapalkan terjemah alquran bahasa indonesia inggris buku buku hadist kelas 12 rencana ajar madinah sibuk stiap murojaah ulang hapalan juz kelas sd magelang kamil emis lampu merah jalan raya kamil jemput pindah jogya posisi ngaji hapal 10 juz juz 30 29 28 27 26 juz juz 15 10 juz selesai pekan 10 juz 16 25 pekan total hari halaman nambah juz selesai hari 10 halaman motivasi jaga alquran sejati alquran sibuk smoga ambil ajar anak jenius ahmad kamil romadon allahu akbar,netral,1
"Celetukan mael bikin ngakak,mukanya serius,ngomongnya becanda mulu,lagi makan ini untung ga keselek",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,celetuk mael bikin ngakak muka serius ngomongnya becanda mulu makan untung ga keselek,netral,1
Ya Allah Kocak Bangett😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ya allah kocak bangett,netral,1
"""ayah mengajarkan ku segalanya, tapi ayah lupa mengajarkan ku bagaimana cara hidup tanpa nya""

""Fajar sadboy.""",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ayah ajar ku ayah lupa ajar ku hidup nya fajar sadboy,netral,1
Cocok untuk ngisi acara waktu sahur nanti om Ded,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok ngisi acara sahur om ded,netral,1
Selalu nonton kalo host nya mas pras,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,nonton kalo host nya mas pras,netral,1
"Cocok nih betiga, tinggal fajar tektokannya aja, udah pas komposisinya",https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,cocok nih betiga tinggal fajar tektokannya aja udah pas komposisi,netral,1
Episode pras dan mae fajar paling pecah haha,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,episode pras mae fajar pecah haha,positif,2
Mabok ya lu,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,mabok ya lu,netral,1
Kan hostnya dia,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,hostnya,netral,1
setuju ga si bang mael podces sama mister aloy😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,tuju ga si bang mael podces mister aloy,netral,1
Ga salah juga kok kalo mau baca allahumma bariklana….,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,ga salah kalo baca allahumma bariklana,netral,1
Udah bikin TRIO aja ini 😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,udah bikin trio aja,netral,1
Bjirlah kocak bat ini praz mael fajar😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,bjirlah kocak bat praz mael fajar,netral,1
trio baru ni. super lucu,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,trio ni super lucu,positif,2
Anjoyyy😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,anjoyyy,netral,1
🤣🤣🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
Pertahankan maeleeeeee,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,tahan maeleeeeee,netral,1
Peccaaahhh...😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,peccaaahhh,netral,1
Kkeerreeenn fajar..top👏👏👍,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,kkeerreeenn fajar top,positif,2
postur mael cocok di terminal. kalau fajar gak,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,postur mael cocok terminal fajar gak,netral,1
Next aloyy si,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,next aloyy si,netral,1
😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,,netral,1
Mael Lee + Fajar = ASUUU.....😂😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,mael lee fajar asuuu,netral,1
Mood banget....udh ntah brp kali nonton podcast ini 🤣🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,mood banget udh ntah brp kali nonton podcast,netral,1
Masyaallah,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,masyaallah,netral,1
39:23 ga ekspek ngelap ingussss😂😂😂😂,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,39 23 ga ekspek ngelap ingussss,netral,1
anjg ni bocah tpi lucu bgt🤣🤣,https://youtu.be/NIr72bFGFts?si=YHGohGGVPQ91ZM40,anjg ni bocah tpi lucu bgt,netral,1
